Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
O15182	reviewed	CETN3_HUMAN	Centrin-3	CETN3 CEN3	Homo sapiens (Human)	167				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:9256449}. Nucleus, nucleolus {ECO:0000303|PubMed:22307388}. Nucleus envelope {ECO:0000269|PubMed:23591820}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:23591820}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:23591820, ECO:0000269|PubMed:26337392}. Note=Centrosome of interphase and mitotic cells (PubMed:9256449). Localizes to centriole distal lumen (PubMed:26337392). Localization at the nuclear pore complex requires NUP153 and TPR (PubMed:23591820). {ECO:0000269|PubMed:23591820, ECO:0000269|PubMed:26337392, ECO:0000269|PubMed:9256449}.				NP_001284697.1;NP_004356.2;	107497;		
O15865	reviewed	CDPK2_PLAFK	Calcium-dependent protein kinase 2 (EC 2.7.11.1) (PfCDPK2)	CDPK2 CPK2	Plasmodium falciparum (isolate K1 / Thailand)	513					HELIX 68..71; /evidence="ECO:0007829|PDB:4MVF"; HELIX 108..121; /evidence="ECO:0007829|PDB:4MVF"; HELIX 156..161; /evidence="ECO:0007829|PDB:4MVF"; HELIX 166..185; /evidence="ECO:0007829|PDB:4MVF"; HELIX 195..197; /evidence="ECO:0007829|PDB:4MVF"; HELIX 245..263; /evidence="ECO:0007829|PDB:4MVF"; HELIX 297..306; /evidence="ECO:0007829|PDB:4MVF"; HELIX 311..313; /evidence="ECO:0007829|PDB:4MVF"; HELIX 317..321; /evidence="ECO:0007829|PDB:4MVF"; HELIX 324..329; /evidence="ECO:0007829|PDB:4MVF"; HELIX 342..348; /evidence="ECO:0007829|PDB:3PM8"; HELIX 354..366; /evidence="ECO:0007829|PDB:3PM8"; HELIX 369..382; /evidence="ECO:0007829|PDB:3PM8"; HELIX 392..402; /evidence="ECO:0007829|PDB:3PM8"; HELIX 409..416; /evidence="ECO:0007829|PDB:3PM8"; HELIX 428..433; /evidence="ECO:0007829|PDB:3PM8"; HELIX 438..441; /evidence="ECO:0007829|PDB:3PM8"; HELIX 444..454; /evidence="ECO:0007829|PDB:3PM8"; HELIX 464..471; /evidence="ECO:0007829|PDB:3PM8"; HELIX 479..492; /evidence="ECO:0007829|PDB:3PM8"; HELIX 502..510; /evidence="ECO:0007829|PDB:3PM8"	TURN 92..94; /evidence="ECO:0007829|PDB:4MVF"; TURN 290..294; /evidence="ECO:0007829|PDB:4MVF"; TURN 349..351; /evidence="ECO:0007829|PDB:3PM8"	STRAND 62..64; /evidence="ECO:0007829|PDB:4MVF"; STRAND 72..80; /evidence="ECO:0007829|PDB:4MVF"; STRAND 82..91; /evidence="ECO:0007829|PDB:4MVF"; STRAND 97..104; /evidence="ECO:0007829|PDB:4MVF"; STRAND 132..137; /evidence="ECO:0007829|PDB:4MVF"; STRAND 139..147; /evidence="ECO:0007829|PDB:4MVF"; STRAND 198..204; /evidence="ECO:0007829|PDB:4MVF"; STRAND 209..211; /evidence="ECO:0007829|PDB:4MVF"; STRAND 387..390; /evidence="ECO:0007829|PDB:3PM8"; STRAND 421..427; /evidence="ECO:0007829|PDB:4MVF"; STRAND 459..462; /evidence="ECO:0007829|PDB:3PM8"; STRAND 497..501; /evidence="ECO:0007829|PDB:3PM8"				
O16305	reviewed	CALM_CAEEL	Calmodulin (CaM)	cmd-1 T21H3.3	Caenorhabditis elegans	149					HELIX 9..20; /evidence="ECO:0007829|PDB:1OOJ"; HELIX 30..39; /evidence="ECO:0007829|PDB:1OOJ"; HELIX 46..54; /evidence="ECO:0007829|PDB:1OOJ"; HELIX 66..93; /evidence="ECO:0007829|PDB:1OOJ"; HELIX 103..111; /evidence="ECO:0007829|PDB:1OOJ"; HELIX 119..129; /evidence="ECO:0007829|PDB:1OOJ"; HELIX 139..145; /evidence="ECO:0007829|PDB:1OOJ"	TURN 112..114; /evidence="ECO:0007829|PDB:1OOJ"	STRAND 25..28; /evidence="ECO:0007829|PDB:1OOJ"; STRAND 61..65; /evidence="ECO:0007829|PDB:1OOJ"; STRAND 98..101; /evidence="ECO:0007829|PDB:1OOJ"; STRAND 134..138; /evidence="ECO:0007829|PDB:1OOJ"	NP_503386.1;	43683;	6239.T21H3.3;	
O35350	reviewed	CAN1_MOUSE	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Micromolar-calpain) (muCANP)	Capn1 Canp1 Capa1	Mus musculus (Mouse)	713				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P07384}. Cell membrane {ECO:0000250|UniProtKB:P07384}. Note=Translocates to the plasma membrane upon Ca(2+) binding. {ECO:0000250|UniProtKB:P07384}.				NP_001103974.1;NP_031626.1;	198470;	10090.ENSMUSP00000025891;	
O35385	reviewed	PPE2_MOUSE	Serine/threonine-protein phosphatase with EF-hands 2 (PPEF-2) (EC 3.1.3.16)	Ppef2	Mus musculus (Mouse)	757	TISSUE SPECIFICITY: Detected in retina, more specifically in photoreceptors.							NP_035278.1;XP_006534880.1;	202323;	10090.ENSMUSP00000031359;	
O35648	reviewed	CETN3_MOUSE	Centrin-3	Cetn3 Cen3	Mus musculus (Mouse)	167				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O15182}. Nucleus, nucleolus {ECO:0000250|UniProtKB:O15182}. Nucleus envelope {ECO:0000250|UniProtKB:O15182}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:O15182}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:O15182}. Note=Centrosome of interphase and mitotic cells. Localizes to centriole distal lumen (By similarity). Localization at the nuclear pore complex requires NUP153 and TPR (By similarity). {ECO:0000250|UniProtKB:O15182}.				NP_031710.1;		10090.ENSMUSP00000022009;	
O35655	reviewed	PPE1_MOUSE	Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (DRES10) (Protein phosphatase with EF calcium-binding domain) (PPEF)	Ppef1 Dres10 Ppef	Mus musculus (Mouse)	650	TISSUE SPECIFICITY: In the embryo it is almost exclusively expressed in the peripheral nervous system, within sensory neurons of cranial and dorsal root ganglia. Otherwise found in fetal inner ear and a small group of neurons in the midbrain/pons junction.							NP_035277.1;		10090.ENSMUSP00000071191;	
O35783	reviewed	CALU_RAT	Calumenin (CBP-50) (Crocalbin)	Calu	Rattus norvegicus (Rat)	315				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O43852}. Golgi apparatus {ECO:0000250|UniProtKB:O43852}. Secreted {ECO:0000250|UniProtKB:O43852}. Melanosome {ECO:0000250|UniProtKB:O43852}. Sarcoplasmic reticulum lumen {ECO:0000250|UniProtKB:O43852}.							
O42287	reviewed	ITSN1_XENLA	Intersectin-1	itsn1	Xenopus laevis (African clawed frog)	1705				SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250|UniProtKB:Q15811}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9WVE9}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q15811}. Cell membrane {ECO:0000250|UniProtKB:Q15811}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:Q15811}. Recycling endosome {ECO:0000250|UniProtKB:Q15811}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000250|UniProtKB:Q15811}. Nucleus envelope {ECO:0000250|UniProtKB:Q15811}. Note=Shuttles between the cytoplasm and nucleus in an XPO1/CRM1-dependent manner. {ECO:0000250|UniProtKB:Q15811}.				NP_001080955.1;XP_018100329.1 [O42287-1];	98902;	8355.O42287;	
O43707	reviewed	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	911	TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:9508771}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cytoplasm {ECO:0000269|PubMed:22351778, ECO:0000269|PubMed:9508771}. Cell junction {ECO:0000250|UniProtKB:P57780}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:9508771}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P57780}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Expressed in the perinuclear rim and manchette structure in early elongating spermatids during spermiogenesis (By similarity). Nuclear translocation can be induced by the PI3 kinase inhibitor wortmannin or by cytochalasin D. Exclusively localized in the nucleus in a limited number of cell lines (breast cancer cell line MCF-7, oral floor cancer IMC-2, and bladder cancer KU-7). {ECO:0000250|UniProtKB:P57780, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:9508771}.	HELIX 47..64; /evidence="ECO:0007829|PDB:6OA6"; HELIX 65..67; /evidence="ECO:0007829|PDB:6OA6"; HELIX 82..92; /evidence="ECO:0007829|PDB:6OA6"; HELIX 105..121; /evidence="ECO:0007829|PDB:6OA6"; HELIX 131..136; /evidence="ECO:0007829|PDB:6OA6"; HELIX 139..154; /evidence="ECO:0007829|PDB:6OA6"; HELIX 165..177; /evidence="ECO:0007829|PDB:6OA6"; HELIX 190..192; /evidence="ECO:0007829|PDB:6OA6"; HELIX 196..205; /evidence="ECO:0007829|PDB:6OA6"; HELIX 207..209; /evidence="ECO:0007829|PDB:6OA6"; HELIX 212..214; /evidence="ECO:0007829|PDB:6OA6"; HELIX 220..234; /evidence="ECO:0007829|PDB:6OA6"; HELIX 243..248; /evidence="ECO:0007829|PDB:6OA6"; HELIX 254..268; /evidence="ECO:0007829|PDB:6OA6"; HELIX 519..552; /evidence="ECO:0007829|PDB:1WLX"; HELIX 560..600; /evidence="ECO:0007829|PDB:1WLX"; HELIX 616..641; /evidence="ECO:0007829|PDB:1WLX"; HELIX 736..756; /evidence="ECO:0007829|PDB:1YDI"	TURN 74..80; /evidence="ECO:0007829|PDB:6OA6"; TURN 155..157; /evidence="ECO:0007829|PDB:6OA6"	STRAND 187..189; /evidence="ECO:0007829|PDB:6OA6"; STRAND 249..251; /evidence="ECO:0007829|PDB:6O31"; STRAND 606..608; /evidence="ECO:0007829|PDB:1WLX"	NP_004915.2 [O43707-1];	106596;	9606.ENSP00000252699;	
O43745	reviewed	CHP2_HUMAN	Calcineurin B homologous protein 2 (Hepatocellular carcinoma-associated antigen 520)	CHP2 HCA520	Homo sapiens (Human)	196	TISSUE SPECIFICITY: Expressed in malignantly transformed cells but not detected in normal tissues. {ECO:0000269|PubMed:12097419, ECO:0000269|PubMed:12226101}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21392185}. Cytoplasm {ECO:0000269|PubMed:21392185}. Cell membrane {ECO:0000269|PubMed:21392185}. Note=Predominantly localized in a juxtanuclear region. Colocalizes with SLC9A3 in the juxtanuclear region and at the plasma membrane (By similarity). Exported from the nucleus to the cytoplasm through a nuclear export signal (NES) pathway. May shuttle between nucleus and cytoplasm. {ECO:0000250}.	HELIX 17..21; /evidence="ECO:0007829|PDB:2BEC"; HELIX 25..38; /evidence="ECO:0007829|PDB:2BEC"; HELIX 48..52; /evidence="ECO:0007829|PDB:2BEC"; HELIX 55..59; /evidence="ECO:0007829|PDB:2BEC"; HELIX 63..68; /evidence="ECO:0007829|PDB:2BEC"; HELIX 80..87; /evidence="ECO:0007829|PDB:2BEC"; HELIX 88..90; /evidence="ECO:0007829|PDB:2BEC"; HELIX 95..98; /evidence="ECO:0007829|PDB:2BEC"; HELIX 112..123; /evidence="ECO:0007829|PDB:2BEC"; HELIX 133..142; /evidence="ECO:0007829|PDB:2BEC"; HELIX 150..164; /evidence="ECO:0007829|PDB:2BEC"; HELIX 174..179; /evidence="ECO:0007829|PDB:2BEC"; HELIX 186..189; /evidence="ECO:0007829|PDB:2BEC"	TURN 14..16; /evidence="ECO:0007829|PDB:2BEC"; TURN 180..183; /evidence="ECO:0007829|PDB:2BEC"; TURN 193..195; /evidence="ECO:0007829|PDB:2BEC"	STRAND 128..131; /evidence="ECO:0007829|PDB:2BEC"; STRAND 169..173; /evidence="ECO:0007829|PDB:2BEC"	NP_071380.1;	121996;	9606.ENSP00000300113;	
O43852	reviewed	CALU_HUMAN	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	Homo sapiens (Human)	315	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed at high levels in heart, placenta and skeletal muscle, at lower levels in lung, kidney and pancreas and at very low levels in brain and liver.			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10222138}. Golgi apparatus {ECO:0000269|PubMed:10222138}. Secreted {ECO:0000305}. Melanosome {ECO:0000269|PubMed:12643545}. Sarcoplasmic reticulum lumen {ECO:0000305}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:12643545}.				NP_001124146.1 [O43852-2];NP_001186600.1 [O43852-3];NP_001186601.1 [O43852-4];NP_001186602.1 [O43852-10];NP_001210.1 [O43852-1];XP_016868148.1 [O43852-15];	107263;	9606.ENSP00000438248;	
O48538	reviewed	RBOHF_ARATH	Respiratory burst oxidase homolog protein F (EC 1.11.1.-) (EC 1.6.3.-) (Cytochrome b245 beta chain homolog RbohAp108) (NADPH oxidase RBOHF) (AtRBOHF)	RBOHF RBOHAP108 At1g64060 F22C12.18	Arabidopsis thaliana (Mouse-ear cress)	944	TISSUE SPECIFICITY: Expressed in roots, stems, seedlings, inflorescences, leaves and guard cells. {ECO:0000269|PubMed:12773379, ECO:0000269|PubMed:9490748, ECO:0000269|PubMed:9628030}.	TOPO_DOM 2..387; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 409..475; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 493..527; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 549..570; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 592..599; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 618..744; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 766..944; /note="Cytoplasmic"; /evidence="ECO:0000255"	TRANSMEM 388..408; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 476..492; /note="Helical; Name=2"; /evidence="ECO:0000250"; TRANSMEM 528..548; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 571..591; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 600..617; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 745..765; /note="Helical; Name=6"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23335733, ECO:0000269|PubMed:9490748}; Multi-pass membrane protein {ECO:0000269|PubMed:23335733, ECO:0000269|PubMed:9490748}.				NP_564821.1;	27931;	3702.AT1G64060.1;	
O49717	reviewed	CDPKF_ARATH	Calcium-dependent protein kinase 15 (EC 2.7.11.1)	CPK15 At4g21940 F1N20.5 T8O5.150	Arabidopsis thaliana (Mouse-ear cress)	554				SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.				NP_193925.1 [O49717-1];	13572;	3702.AT4G21940.2;	
O54916	reviewed	REPS1_MOUSE	RalBP1-associated Eps domain-containing protein 1 (RalBP1-interacting protein 1)	Reps1	Mus musculus (Mouse)	795	TISSUE SPECIFICITY: Expressed in all tissues examined. The highest level expression was found in the kidney and testis.			SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000250}. Note=Colocalize with ITSN1 at the plasma membrane in structures that are most probably clathrin-coated pits. {ECO:0000250}.	HELIX 283..293; /evidence="ECO:0007829|PDB:1FI6"; HELIX 306..316; /evidence="ECO:0007829|PDB:1FI6"; HELIX 320..330; /evidence="ECO:0007829|PDB:1FI6"; HELIX 340..355; /evidence="ECO:0007829|PDB:1FI6"	TURN 294..296; /evidence="ECO:0007829|PDB:1FI6"	STRAND 303..305; /evidence="ECO:0007829|PDB:1FI6"; STRAND 335..339; /evidence="ECO:0007829|PDB:1FI6"	NP_001104535.1;NP_033074.2 [O54916-1];	202861;	10090.ENSMUSP00000123238;	
O54998	reviewed	FKBP7_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP7 (PPIase FKBP7) (EC 5.2.1.8) (23 kDa FK506-binding protein) (23 kDa FKBP) (FKBP-23) (FK506-binding protein 7) (FKBP-7) (Rotamase)	Fkbp7 Fkbp23	Mus musculus (Mouse)	218	TISSUE SPECIFICITY: Expressed at highest levels in heart, lung and testis. Weakly expressed in kidney and lymph node. Little or no expression detected in brain, thymus, spleen and liver. {ECO:0000269|PubMed:9806833}.			SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:9806833}.				NP_034352.1;	199688;	10090.ENSMUSP00000002809;	
O74435	reviewed	CDC31_SCHPO	Cell division control protein 31	cdc31 SPCC1682.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	176				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12857865}. Note=Associates with the half-bridge structure of the SPB.				NP_587797.1;	275831;	4896.SPCC1682.04.1;	
O75038	reviewed	PLCH2_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	Homo sapiens (Human)	1416	TISSUE SPECIFICITY: Expressed in retina and kidney. {ECO:0000269|PubMed:16107206}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:A2AP18}. Cell membrane {ECO:0000250|UniProtKB:A2AP18}. Note=Localized predominantly at the plasma membrane. {ECO:0000250|UniProtKB:A2AP18}.				NP_001289941.1 [O75038-2];NP_001289942.1;NP_055453.2 [O75038-1];	115009;	9606.ENSP00000367747;	
O75340	reviewed	PDCD6_HUMAN	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	PDCD6 ALG2	Homo sapiens (Human)	191				SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16957052, ECO:0000269|PubMed:27813252}; Peripheral membrane protein {ECO:0000269|PubMed:16957052}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:27716508}. Cytoplasm {ECO:0000269|PubMed:27716508, ECO:0000269|PubMed:27784779}. Nucleus {ECO:0000269|PubMed:17045351, ECO:0000269|PubMed:21122810, ECO:0000269|PubMed:27784779}. Endosome {ECO:0000269|PubMed:19864416}. Note=Interaction with RBM22 induces relocalization from the cytoplasm to the nucleus (PubMed:17045351). Translocated from the cytoplasm to the nucleus after heat shock cell treatment. Accumulates in cytoplasmic vesicle-like organelles after heat shock treatment, which may represent stress granules (PubMed:21122810). In response to calcium increase, relocates from cytoplasm to COPII vesicle coat (PubMed:27716508). Localizes to endoplasmic reticulum exit site (ERES) (PubMed:27813252). {ECO:0000269|PubMed:17045351, ECO:0000269|PubMed:21122810, ECO:0000269|PubMed:27716508, ECO:0000269|PubMed:27813252}.	HELIX 26..35; /evidence="ECO:0007829|PDB:2ZND"; HELIX 45..51; /evidence="ECO:0007829|PDB:2ZND"; HELIX 62..72; /evidence="ECO:0007829|PDB:2ZND"; HELIX 82..102; /evidence="ECO:0007829|PDB:2ZND"; HELIX 112..121; /evidence="ECO:0007829|PDB:2ZND"; HELIX 128..138; /evidence="ECO:0007829|PDB:2ZND"; HELIX 148..168; /evidence="ECO:0007829|PDB:2ZND"; HELIX 180..188; /evidence="ECO:0007829|PDB:2ZND"		STRAND 36..40; /evidence="ECO:0007829|PDB:2ZRT"; STRAND 41..43; /evidence="ECO:0007829|PDB:2ZNE"; STRAND 55..58; /evidence="ECO:0007829|PDB:2ZND"; STRAND 74..80; /evidence="ECO:0007829|PDB:2ZND"; STRAND 107..110; /evidence="ECO:0007829|PDB:2ZND"; STRAND 143..147; /evidence="ECO:0007829|PDB:2ZND"; STRAND 172..174; /evidence="ECO:0007829|PDB:2ZND"	NP_001254485.1 [O75340-2];NP_001254486.1;NP_001254487.1;NP_001254488.1 [O75340-3];NP_037364.1 [O75340-1];	115333;	9606.ENSP00000264933;	
O75746	reviewed	S2512_HUMAN	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Araceli hiperlarga) (Aralar) (Aralar1) (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)	SLC25A12 AGC1 ARALAR1	Homo sapiens (Human)	678	TISSUE SPECIFICITY: Expressed predominantly in the heart and skeletal muscle, weakly in brain and kidney. {ECO:0000269|PubMed:10369257, ECO:0000269|PubMed:9722566}.	TOPO_DOM 2..329; /note="Mitochondrial intermembrane"; /evidence="ECO:0000269|PubMed:11566871"; TOPO_DOM 348..390; /note="Mitochondrial matrix"; /evidence="ECO:0000305|PubMed:11566871"; TOPO_DOM 411..433; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305|PubMed:11566871"; TOPO_DOM 448..482; /note="Mitochondrial matrix"; /evidence="ECO:0000305|PubMed:11566871"; TOPO_DOM 503..521; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305|PubMed:11566871"; TOPO_DOM 540..578; /note="Mitochondrial matrix"; /evidence="ECO:0000305|PubMed:11566871"; TOPO_DOM 599..678; /note="Mitochondrial intermembrane"; /evidence="ECO:0000305|PubMed:11566871"	TRANSMEM 330..347; /note="Helical; Name=1"; /evidence="ECO:0000305|PubMed:9722566"; TRANSMEM 391..410; /note="Helical; Name=2"; /evidence="ECO:0000305|PubMed:9722566"; TRANSMEM 434..447; /note="Helical; Name=3"; /evidence="ECO:0000305|PubMed:9722566"; TRANSMEM 483..502; /note="Helical; Name=4"; /evidence="ECO:0000305|PubMed:9722566"; TRANSMEM 522..539; /note="Helical; Name=5"; /evidence="ECO:0000305|PubMed:9722566"; TRANSMEM 579..598; /note="Helical; Name=6"; /evidence="ECO:0000305|PubMed:9722566"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11566871, ECO:0000269|PubMed:19641205, ECO:0000269|PubMed:24515575, ECO:0000269|PubMed:9722566}; Multi-pass membrane protein {ECO:0000269|PubMed:11566871}.	HELIX 15..23; /evidence="ECO:0007829|PDB:4P5X"; HELIX 36..40; /evidence="ECO:0007829|PDB:4P5X"; HELIX 54..64; /evidence="ECO:0007829|PDB:4P5X"; HELIX 74..84; /evidence="ECO:0007829|PDB:4P5X"; HELIX 89..98; /evidence="ECO:0007829|PDB:4P5X"; HELIX 108..117; /evidence="ECO:0007829|PDB:4P5X"; HELIX 131..137; /evidence="ECO:0007829|PDB:4P5X"; HELIX 147..169; /evidence="ECO:0007829|PDB:4P5X"; HELIX 179..189; /evidence="ECO:0007829|PDB:4P5X"; HELIX 191..193; /evidence="ECO:0007829|PDB:4P5X"; HELIX 196..200; /evidence="ECO:0007829|PDB:4P5X"; HELIX 202..205; /evidence="ECO:0007829|PDB:4P5X"; HELIX 216..227; /evidence="ECO:0007829|PDB:4P5X"; HELIX 229..238; /evidence="ECO:0007829|PDB:4P5X"; HELIX 250..257; /evidence="ECO:0007829|PDB:4P5X"; HELIX 265..276; /evidence="ECO:0007829|PDB:4P5X"; HELIX 286..292; /evidence="ECO:0007829|PDB:4P5X"	TURN 41..43; /evidence="ECO:0007829|PDB:4P5X"; TURN 138..141; /evidence="ECO:0007829|PDB:4P5X"; TURN 206..210; /evidence="ECO:0007829|PDB:4P60"; TURN 258..261; /evidence="ECO:0007829|PDB:4P5X"; TURN 305..307; /evidence="ECO:0007829|PDB:4P60"	STRAND 26..28; /evidence="ECO:0007829|PDB:4P5X"; STRAND 31..34; /evidence="ECO:0007829|PDB:4P5X"; STRAND 69..71; /evidence="ECO:0007829|PDB:4P60"; STRAND 128..130; /evidence="ECO:0007829|PDB:4P5X"; STRAND 174..177; /evidence="ECO:0007829|PDB:4P5X"; STRAND 212..215; /evidence="ECO:0007829|PDB:4P60"; STRAND 282..284; /evidence="ECO:0007829|PDB:4P5X"; STRAND 300..302; /evidence="ECO:0007829|PDB:4P60"	NP_003696.2 [O75746-1];	114164;	9606.ENSP00000388658;	
